
,	,
?	.
.	.
abgemacht	fw
able	jj
about	in
about	rb
about	rp
above	in
absolutely	rb
Acapulco	np
acceptable	jj
accept	vb
accept	vbp
accessible	jj
access	nn
accommodation	nn
accommodations	nns
accomplished	vbn
accomplish	vb
according	in
accordingly	rb
accountants	nns
accounting	nn
account	nn
account	vb
acquainted	vbn
acquisitions	nns
activities	nns
activity	nn
actual	jj
actually	rb
added	jj
additional	jj
address	nn
address	vb
add	vb
add	vbp
adequately	rb
adjusted	vbn
adjust	vb
administrative	jj
a	dt
advance	nn
advantage	nn
Advent	np
advisor	nn
advisors	nns
affiliate	nn
affiliates	nns
afford	vb
afraid	jj
after	in
afternoonish	jj
afternoon	nn
afternoons	nns
after	rb
afterwards	rb
again	rb
agency	nn
agenda	nn
agent	nn
ago	rb
agreeable	jj
agreed	vbd
agreed	vbn
agreement	nn
agree	vb
agree	vbp
aha	uh
ahead	in
ahead	rb
"ahm	uh
"ah	uh
ah	uh
aim	vb
airline	nn
air	nn
airplane	nn
airport	nn
airports	nns
$A	jj
Alamo	np
Alan	np
Alberta	np
alert	jj
Alex	np
Ali	np
all	dt
Allegheny	np
$A-$L-$L-$E	ls
Allequippa	np
allergy	nn
Allied	np
$A-$L-$L	ls
all	nn
allotted	jj
allot	vb
allowed	vbn
allow	vb
all	pdt
all	rb
$A-$L	ls
almost	rb
alone	jj
along	in
along	rb
along	rp
already	rb
alright	jj
alright	uh
alrighty	jj
alrighty	uh
also	rb
Alte-Oper	np
although	in
altogether	rb
always	rb
Amanda	np
amazing	jj
amenities	nns
American-Express	np
American	jj
American	np
America	np
American-sized	jj
Americans	nps
amiable	jj
$A-$M	nn
amount	nn
amusing	jj
am	vbp
Amy	np
analysis	nn
analyzing	vbg
ancient	jj
and	cc
Andrew	np
an	dt
Andy	np
Angeles	np
angle	nn
$A	nn
Anne	np
anniversary	nn
Ann	np
annoying	jj
annual	jj
another	dt
another	nn
Anthony	np
Anuj	np
anxious	jj
anybody	nn
any	dt
anyhow	rb
anymore	rb
any	nn
anyone	nn
any	rb
anything	nn
anytime	nn
anyway	rb
anyways	rb
anywhere	rb
apart	in
apartment	nn
apart	rb
apostrophe	nn
apparently	rb
appealing	jj
appear	vb
appetizing	jj
appointment	nn
appointments	nns
appreciate	vb
appreciate	vbp
approach	vb
appropriate	jj
approval	nn
approximately	rb
April	np
Arabica	np
Arabs	nns
architect	nn
area	nn
aren't	vbp
are	vbp
arisen	vbn
arises	vbz
arise	vb
armed	jj
army	nn
Arnie	np
arose	vbd
around	in
around	rb
around	rp
arranged	vbd
arranged	vbn
arrangement	nn
arrangements	nns
arrange	vb
arrange	vbp
arranging	vbg
arrival	nn
arrived	vbd
arrived	vbn
arrive	vb
arrive	vbp
arriving	vbg
Arthur	np
artist	nn
artists	nns
art	nn
Asian	jj
aside	in
aside	rb
aside	rp
as	in
asked	vbd
asking	vbg
ask	vb
ask	vbp
asleep	jj
as	rb
assistant	nn
associates	nns
assumed	vbd
assume	vb
assume	vbp
assuming	vbg
as	uh
ate	vbd
at	in
Atlantic	np
atmosphere	nn
attending	vbg
attend	vb
attention	nn
attractive	jj
attributes	nns
Aubrey	np
auch	nn
